,GOLD,sp500,VNQ,Date,FAANG
69,,,,2020-02-11,-0.003086234207559713
70,,,,2020-02-12,0.013743120840118415
71,,,,2020-02-13,-0.0003084847027730042
72,,,,2020-02-14,-0.00032180750677646136
73,,,,2020-02-18,0.005329087722317104
74,,,,2020-02-19,0.0038830679682066993
75,,,,2020-02-20,-0.007254926413332584
76,,,,2020-02-21,-0.021330055531467496
77,,,,2020-02-24,-0.0410554906171019
78,,,,2020-02-25,-0.0239491582057898
79,,,,2020-02-26,0.016825735988173832
80,,,,2020-02-27,-0.04445421770596325
81,,,,2020-02-28,0.004162156877590696
82,,,,2020-03-02,0.043958493315565006
83,,,,2020-03-03,-0.03472620575871821
84,,,,2020-03-04,0.03774713938434493
85,,,,2020-03-05,-0.03370692103474915
86,,,,2020-03-06,-0.014028237381772836
87,,,,2020-03-09,-0.06392727082490213
88,,,,2020-03-10,0.054966593616138086
89,,,,2020-03-11,-0.04084237624811093
90,,,,2020-03-12,-0.09091101217719012
91,,,,2020-03-13,0.08840919101170486
92,,,,2020-03-16,-0.11025407963463396
93,,,,2020-03-17,0.05159521716822657
94,,,,2020-03-18,-0.012800032634242007
95,,,,2020-03-19,0.026763984694114784
96,,,,2020-03-20,-0.026960668870325773
97,,,,2020-03-23,0.018690782616615387
98,,,,2020-03-24,0.04722140686737153
99,,,,2020-03-25,-0.026726375512910905
100,,,,2020-03-26,0.0504770006287858
101,,,,2020-03-27,-0.03288406746512973
102,,,,2020-03-30,0.037704569271771016
103,,,,2020-03-31,0.0043349742810232525
104,,,,2020-04-01,-0.03873266030057687
105,,,,2020-04-02,0.009536253642376423
106,,,,2020-04-03,-0.017822032986732128
107,,,,2020-04-06,0.06641517978173694
108,,,,2020-04-07,-0.002795958308754232
109,,,,2020-04-08,0.016629712529289797
110,,,,2020-04-09,0.001981360911111896
111,,,,2020-04-13,0.03414443883026541
112,,,,2020-04-14,0.04299771659347873
113,,,,2020-04-15,0.006356421112532873
114,,,,2020-04-16,0.01799811171440013
115,,,,2020-04-17,-0.009862406584712937
116,,,,2020-04-20,0.003115512771760365
117,,,,2020-04-21,-0.027280515772966862
118,,,,2020-04-22,0.01803684658703109
119,,,,2020-04-23,0.01009409808481565
120,,,,2020-04-24,0.010505738578361346
121,,,,2020-04-27,-0.008179953733660759
122,,,,2020-04-28,-0.028438712453255355
123,,,,2020-04-29,0.04212544704390875
124,,,,2020-04-30,0.027928957941151026
125,,,,2020-05-01,-0.028544869410471737
126,,,,2020-05-04,0.016424628350601322
127,,,,2020-05-05,0.006000552739923615
128,,,,2020-05-06,0.011309682539205168
129,,,,2020-05-07,0.010159991725892105
130,,,,2020-05-08,0.007432688326037827
131,,,,2020-05-11,0.011583890593304336
132,,,,2020-05-12,-0.017637495991566166
133,,,,2020-05-13,-0.005352369414020508
134,,,,2020-05-14,0.0076987741788199235
135,,,,2020-05-15,0.012906104415812305
136,,,,2020-05-18,0.008557903414520673
137,,,,2020-05-19,0.0017144765846273113
138,,,,2020-05-20,0.021069958223549182
139,,,,2020-05-21,-0.011111210473724431
140,,,,2020-05-22,0.00028726379044585754
141,,,,2020-05-26,-0.011699891243378113
142,,,,2020-05-27,6.55059588980933e-05
143,,,,2020-05-28,-0.0074971750268110204
144,,,,2020-05-29,0.008486954144082405
145,,,,2020-06-01,0.014025236217287906
146,,,,2020-06-02,0.003329613786766217
147,,,,2020-06-03,-0.0036443779311553523
148,,,,2020-06-04,-0.013485456133309648
149,,,,2020-06-05,0.017405075656392374
150,,,,2020-06-08,0.006135892737577421
151,,,,2020-06-09,0.027034458605215802
152,,,,2020-06-10,0.009357802034138496
153,,,,2020-06-11,-0.03861645670754699
154,,,,2020-06-12,0.0012834179439933366
155,,,,2020-06-15,0.012972901470414744
156,,,,2020-06-16,0.02023488289754627
157,,,,2020-06-17,0.008464702442071427
158,,,,2020-06-18,0.0004169500877855281
159,,,,2020-06-19,0.0035955300180383616
160,,,,2020-06-22,0.019181602133961476
161,,,,2020-06-23,0.011319273361356295
162,,,,2020-06-24,-0.01974361131274716
163,,,,2020-06-25,0.010680668843449093
164,,,,2020-06-26,-0.04600143366805276
165,,,,2020-06-29,0.013519812106588702
166,,,,2020-06-30,0.019659080643443797
167,,,,2020-07-01,0.035447953709575764
168,,,,2020-07-02,-0.0033348389689916713
169,,,,2020-07-06,0.035198210818973015
170,,,,2020-07-07,-0.005881176151766754
171,,,,2020-07-08,0.01895440058806863
172,,,,2020-07-09,0.01288419760070436
173,,,,2020-07-10,0.023259558965894375
174,,,,2020-07-13,-0.02514391918238046
175,,,,2020-07-14,0.003018855287686417
176,,,,2020-07-15,-0.0048952441793544965
177,,,,2020-07-16,-0.0011008433733527
178,,,,2020-07-17,-0.018279297131282846
179,,,,2020-07-20,0.03404452201051167
180,,,,2020-07-21,-0.016122734294892305
181,,,,2020-07-22,-0.002775732679789145
182,,,,2020-07-23,-0.03378852857343817
183,,,,2020-07-24,0.00031987343344952457
184,,,,2020-07-27,0.020112685960725685
185,,,,2020-07-28,-0.0160608990134965
186,,,,2020-07-29,0.009000831642333784
187,,,,2020-07-30,0.007008153089951508
188,,,,2020-07-31,0.04024074595791105
189,,,,2020-08-03,0.0045637179012707465
190,,,,2020-08-04,0.006088984153819421
191,,,,2020-08-05,0.002287183295869744
192,,,,2020-08-06,0.025957058834389143
193,,,,2020-08-07,-0.014563027029881215
194,,,,2020-08-10,-0.006838838825707461
195,,,,2020-08-11,-0.025339521673458317
196,,,,2020-08-12,0.0229339421047392
197,,,,2020-08-13,0.008588071689881627
198,,,,2020-08-14,-0.001763345098076963
199,,,,2020-08-17,0.0027859449631961737
200,,,,2020-08-18,0.02014016560116394
201,,,,2020-08-19,-0.0074471133115174845
202,,,,2020-08-20,0.02098770326720389
203,,,,2020-08-21,0.007505207322946239
204,,,,2020-08-24,0.006693957610877321
205,,,,2020-08-25,0.009281673585818773
206,,,,2020-08-26,0.05166852838387759
207,,,,2020-08-27,-0.0217136558671982
208,,,,2020-08-28,2.8490447765427973e-05
209,,,,2020-08-31,0.012340203876877176
210,,,,2020-09-01,0.02725034535158977
211,,,,2020-09-02,0.005103927557194909
212,,,,2020-09-03,-0.054108977102969136
213,,,,2020-09-04,-0.01831081343308727
214,,,,2020-09-08,-0.04204592681614228
215,,,,2020-09-09,0.018470199918538818
216,,,,2020-09-10,-0.02816823321140572
