Date,FAANG
2020-07-02,-0.0033348389689916713
2020-07-06,0.03519821081897301
2020-07-07,-0.005881176151766754
2020-07-08,0.01895440058806863
2020-07-09,0.012884197600704361
2020-07-10,0.023259558965894378
2020-07-13,-0.02514391918238046
2020-07-14,0.003018855287686417
2020-07-15,-0.0048952441793544965
2020-07-16,-0.0011008433733527
2020-07-17,-0.018279297131282846
2020-07-20,0.03404452201051167
2020-07-21,-0.016122734294892305
2020-07-22,-0.0027757326797891446
2020-07-23,-0.03378852857343817
2020-07-24,0.00031987343344952457
2020-07-27,0.020112685960725685
2020-07-28,-0.0160608990134965
2020-07-29,0.009000831642333784
2020-07-30,0.007008153089951508
2020-07-31,0.04024074595791105
2020-08-03,0.004563717901270747
2020-08-04,0.006088984153819421
2020-08-05,0.0022871832958697436
