Date,Price,Open,High,Low,Vol.,Change %
9-Jul-20,6.08,6.5,6.5,5.73,18.29M,-6.33%
8-Jul-20,6.5,5.72,6.53,5.61,23.55M,13.58%
7-Jul-20,5.72,5.36,5.88,5.34,19.02M,6.71%
6-Jul-20,5.36,4.75,5.48,4.74,15.50M,12.71%
5-Jul-20,4.75,4.82,4.83,4.62,4.85M,-1.34%
4-Jul-20,4.82,4.73,4.85,4.72,3.94M,1.79%
3-Jul-20,4.73,4.8,4.89,4.71,6.14M,-1.27%
2-Jul-20,4.8,4.71,4.92,4.61,10.24M,1.89%
1-Jul-20,4.71,4.56,4.73,4.53,5.20M,3.11%
30-Jun-20,4.56,4.62,4.66,4.54,3.99M,-1.13%
29-Jun-20,4.62,4.58,4.65,4.43,6.20M,0.90%
28-Jun-20,4.58,4.41,4.62,4.37,6.56M,3.64%
27-Jun-20,4.41,4.68,4.69,4.31,8.23M,-5.76%
26-Jun-20,4.68,4.81,4.86,4.65,7.30M,-2.62%
25-Jun-20,4.81,4.71,4.84,4.52,9.64M,2.23%
24-Jun-20,4.71,4.8,4.94,4.51,13.64M,-1.89%
23-Jun-20,4.8,4.49,4.94,4.43,13.99M,6.94%
22-Jun-20,4.49,4.18,4.49,4.18,6.20M,7.21%
21-Jun-20,4.18,4.18,4.2,4.14,1.88M,0.00%
20-Jun-20,4.18,4.1,4.21,4.07,3.40M,1.92%
19-Jun-20,4.1,4.14,4.18,4.06,3.47M,-1.02%
18-Jun-20,4.14,4.16,4.25,4.1,4.43M,-0.49%
17-Jun-20,4.16,4.05,4.19,3.97,5.65M,2.90%
16-Jun-20,4.05,3.93,4.09,3.9,4.93M,3.07%
15-Jun-20,3.93,3.94,3.99,3.66,9.55M,-0.40%
14-Jun-20,3.94,4.11,4.11,3.92,2.24M,-3.99%
13-Jun-20,4.11,4.08,4.12,4.01,2.13M,0.75%
12-Jun-20,4.08,3.97,4.18,3.86,6.26M,2.70%
11-Jun-20,3.97,4.42,4.45,3.92,8.45M,-10.27%
10-Jun-20,4.42,4.43,4.44,4.35,2.94M,-0.25%
9-Jun-20,4.43,4.47,4.5,4.37,3.10M,-0.78%
8-Jun-20,4.47,4.35,4.47,4.33,2.59M,2.85%
7-Jun-20,4.35,4.35,4.41,4.22,2.83M,0.00%
6-Jun-20,4.35,4.36,4.4,4.31,1.80M,-0.33%
5-Jun-20,4.36,4.43,4.48,4.34,2.98M,-1.39%
4-Jun-20,4.43,4.48,4.51,4.29,4.34M,-1.31%
3-Jun-20,4.48,4.4,4.53,4.3,5.62M,1.95%
2-Jun-20,4.4,4.38,4.62,4.14,10.90M,0.50%
1-Jun-20,4.38,4.13,4.48,4.12,11.90M,5.90%
31-May-20,4.13,4.17,4.28,4.04,7.94M,-0.88%
30-May-20,4.17,3.98,4.18,3.94,6.08M,4.67%
29-May-20,3.98,4.04,4.12,3.96,6.45M,-1.35%
28-May-20,4.04,3.85,4.06,3.83,4.98M,5.00%
27-May-20,3.85,3.84,3.91,3.81,4.45M,0.00%
26-May-20,3.84,3.86,3.88,3.78,4.47M,-0.32%
25-May-20,3.86,3.79,3.9,3.78,5.30M,1.65%
24-May-20,3.79,3.93,4.03,3.79,7.31M,-3.56%
23-May-20,3.93,4.06,4.1,3.92,7.06M,-3.21%
22-May-20,4.06,3.83,4.14,3.8,8.71M,6.28%
21-May-20,3.82,4.09,4.17,3.75,12.58M,-6.42%
