Date,Price,Open,High,Low,Vol.,Change %
11-Feb-20,1.0029,0.9998,1.0034,0.9993,10.88M,0.31%
10-Feb-20,0.9998,0.9992,1.0001,0.9987,10.49M,0.02%
9-Feb-20,0.9995,0.9997,1.0004,0.9986,7.05M,-0.02%
8-Feb-20,0.9997,0.9981,1.0012,0.9974,7.44M,0.16%
7-Feb-20,0.9981,0.9985,0.9998,0.9975,10.69M,-0.03%
6-Feb-20,0.9985,0.9997,1.0013,0.9981,9.17M,-0.13%
5-Feb-20,0.9997,0.999,1.0016,0.999,8.01M,0.07%
4-Feb-20,0.999,1.0004,1.0018,0.999,6.06M,-0.14%
3-Feb-20,1.0004,1.0007,1.0025,0.9994,6.48M,-0.03%
2-Feb-20,1.0007,1.0014,1.0027,1.0001,3.14M,-0.07%
1-Feb-20,1.0014,0.9999,1.0028,0.9999,3.16M,0.15%
31-Jan-20,0.9999,0.9991,1.001,0.9991,4.57M,0.08%
30-Jan-20,0.9991,1,1.0024,0.9986,7.05M,-0.09%
29-Jan-20,1,1.0017,1.0034,0.9991,4.41M,-0.17%
28-Jan-20,1.0017,1.0022,1.0026,1.0002,5.79M,0.23%
27-Jan-20,0.9994,1.0021,1.0044,0.9988,6.47M,-0.27%
26-Jan-20,1.0021,1.0026,1.0061,1.0016,3.46M,-0.05%
25-Jan-20,1.0026,1.0011,1.0038,1.0011,2.53M,0.15%
24-Jan-20,1.0011,0.9997,1.0023,0.9997,4.71M,0.14%
23-Jan-20,0.9997,1.0032,1.0036,0.9991,4.27M,-0.12%
22-Jan-20,1.0009,1.0029,1.003,1.0004,2.84M,-0.01%
21-Jan-20,1.001,1.0008,1.0026,1.0005,3.51M,0.02%
20-Jan-20,1.0008,1.0005,1.0021,0.9999,3.76M,0.03%
19-Jan-20,1.0005,0.9999,1.0015,0.9976,6.24M,0.06%
18-Jan-20,0.9999,0.9984,1.0004,0.9979,4.80M,0.17%
17-Jan-20,0.9982,1.0022,1.0033,0.9982,10.18M,-0.22%
16-Jan-20,1.0004,0.9992,1.0016,0.9989,4.97M,0.12%
15-Jan-20,0.9992,0.9969,1.0005,0.9959,10.07M,0.18%
14-Jan-20,0.9974,1.0026,1.0043,0.9972,24.88M,-0.52%
13-Jan-20,1.0026,1.0005,1.0033,1.0005,3.47M,0.22%
12-Jan-20,1.0004,1.0011,1.0015,1.0004,9.32M,-0.06%
11-Jan-20,1.001,1.0015,1.0021,1.0008,8.18M,-0.04%
10-Jan-20,1.0014,1.0049,1.0065,1.0013,6.90M,-0.10%
9-Jan-20,1.0024,1.0013,1.0033,1.0013,4.33M,0.11%
8-Jan-20,1.0013,1.0016,1.0029,1.0011,7.14M,-0.03%
7-Jan-20,1.0016,1.0054,1.0057,1.0013,7.00M,-0.25%
6-Jan-20,1.0041,1.0041,1.0054,1.003,3.81M,0.08%
5-Jan-20,1.0032,1.005,1.0083,1.0031,4.61M,-0.18%
4-Jan-20,1.005,1.0064,1.0093,1.0049,2.74M,0.11%
3-Jan-20,1.0039,1.0053,1.0103,1.0035,6.23M,-0.14%
2-Jan-20,1.0053,1.0163,1.0167,1.0051,2.79M,-0.68%
1-Jan-20,1.0121,1.0095,1.0127,1.0078,1.08M,0.73%
31-Dec-19,1.0048,1.0079,1.0079,1.0043,2.00M,0.26%
30-Dec-19,1.0021,1.0135,1.0139,1.0016,3.94M,-0.40%
29-Dec-19,1.0062,1.0041,1.0099,1.0041,2.05M,0.21%
28-Dec-19,1.0041,1.0021,1.0051,1.0021,3.99M,0.21%
27-Dec-19,1.002,1.0052,1.0055,1.0008,5.03M,-0.14%
26-Dec-19,1.0034,1.0057,1.006,1.0027,4.72M,-0.02%
25-Dec-19,1.0036,1.0041,1.0084,1.0032,3.03M,-0.05%
24-Dec-19,1.0041,1.0034,1.0065,1.0031,3.88M,0.06%
23-Dec-19,1.0034,1.0095,1.0128,1.0031,4.25M,-0.60%
22-Dec-19,1.0095,1.0114,1.0198,1.0088,1.76M,0.29%
21-Dec-19,1.0066,1.005,1.0125,1.005,3.09M,0.15%
20-Dec-19,1.005,1.0054,1.0113,1.0046,3.69M,-0.05%
19-Dec-19,1.0055,1.0053,1.0082,1.0046,5.07M,0.00%
18-Dec-19,1.0055,1.0068,1.0069,1.0049,7.36M,0.01%
17-Dec-19,1.0054,1.0038,1.0065,1.0038,13.46M,0.15%
16-Dec-19,1.0039,1.008,1.0109,1.0032,12.31M,-0.40%
15-Dec-19,1.008,1.0081,1.0139,1.0076,2.30M,-0.01%
14-Dec-19,1.0081,1.0067,1.0122,1.0058,2.01M,0.27%
13-Dec-19,1.0053,1.0031,1.0096,1.0031,4.14M,0.22%
12-Dec-19,1.0031,1.0023,1.0074,1.0023,6.33M,0.08%
11-Dec-19,1.0023,1.0031,1.0092,1.0022,6.08M,-0.09%
10-Dec-19,1.0032,1.0044,1.0088,1.0029,5.03M,-0.12%
9-Dec-19,1.0044,1.0079,1.0091,1.0043,4.97M,-0.32%
8-Dec-19,1.0076,1.0115,1.0122,1.007,3.25M,-0.16%
7-Dec-19,1.0093,1.0052,1.0108,1.0052,1.85M,0.40%
6-Dec-19,1.0052,1.0048,1.0102,1.0044,6.98M,0.04%
5-Dec-19,1.0048,1.0054,1.0072,1.0042,4.27M,-0.06%
4-Dec-19,1.0054,1.0066,1.0136,1.0052,9.08M,-0.12%
3-Dec-19,1.0066,1.0082,1.0118,1.006,3.68M,-0.18%
2-Dec-19,1.0084,1.0097,1.0111,1.0078,2.68M,0.05%
1-Dec-19,1.0079,1.0089,1.0134,1.0073,3.39M,-0.09%
30-Nov-19,1.0088,1.0066,1.0112,1.0066,1.80M,0.23%
29-Nov-19,1.0066,1.0057,1.0091,1.0057,5.55M,0.08%
28-Nov-19,1.0058,1.0047,1.0072,1.0047,5.13M,0.11%
27-Nov-19,1.0047,1.0059,1.0086,1.0046,6.57M,-0.12%
26-Nov-19,1.0059,1.0067,1.0083,1.0049,5.90M,-0.08%
25-Nov-19,1.0067,1.009,1.0154,1.0063,16.34M,-0.23%
24-Nov-19,1.009,1.0084,1.0111,1.008,8.00M,0.22%
23-Nov-19,1.0068,1.0062,1.0078,1.0062,7.36M,0.07%
