Date,Price,Open,High,Low,Vol.,Change %
15-May-20,235.1,242.66,243.33,232.34,2.47M,-3.11%
14-May-20,242.66,239.39,245.5,234.33,3.23M,1.38%
13-May-20,239.36,233.29,242,231.77,2.55M,2.60%
12-May-20,233.31,235.13,238.82,228.92,3.12M,-0.98%
11-May-20,235.61,232.84,237.68,219.03,5.04M,1.17%
10-May-20,232.9,265.39,265.51,223.59,6.75M,-12.25%
9-May-20,265.4,260.24,277.06,258.65,5.52M,1.94%
8-May-20,260.35,252.01,265.16,248.53,4.05M,3.32%
7-May-20,252,241.51,256.35,237.34,3.90M,4.36%
6-May-20,241.48,246.98,253.26,240.76,3.33M,-2.24%
5-May-20,247,245.84,251.97,241.56,3.08M,0.47%
4-May-20,245.85,251.68,252.43,236.49,3.74M,-2.32%
3-May-20,251.68,260.88,267.54,246.86,4.10M,-3.52%
2-May-20,260.87,254.62,261.17,252.32,2.99M,2.45%
1-May-20,254.63,249.97,260.06,249.91,3.64M,1.85%
30-Apr-20,249.99,257.77,275.4,245.41,5.45M,-3.03%
29-Apr-20,257.81,241.32,262.51,241.06,5.16M,6.83%
28-Apr-20,241.33,241.16,242.79,237.08,3.16M,0.07%
27-Apr-20,241.16,246.31,248.03,234.45,4.04M,-2.08%
26-Apr-20,246.3,238.09,248.76,237.43,3.60M,3.45%
25-Apr-20,238.09,237.89,245.18,235.27,3.23M,0.09%
24-Apr-20,237.88,237.36,241.69,235.23,3.35M,0.22%
23-Apr-20,237.37,233.04,245.62,226.14,4.01M,1.86%
22-Apr-20,233.04,219.46,235.4,217.56,3.35M,6.18%
21-Apr-20,219.48,219.18,223.14,215.48,3.33M,0.14%
20-Apr-20,219.18,231.32,237.91,216.12,4.34M,-5.25%
19-Apr-20,231.33,243.69,244.96,230.18,3.70M,-5.07%
18-Apr-20,243.7,231.82,247.45,231.63,3.67M,5.13%
17-Apr-20,231.81,234.91,236.57,229.48,3.44M,-1.33%
16-Apr-20,234.93,214.99,239.31,206.63,5.58M,9.23%
15-Apr-20,215.08,223.07,225.19,214.2,3.55M,-3.58%
14-Apr-20,223.07,223.47,228.46,220.13,4.00M,-0.20%
13-Apr-20,223.52,233.22,233.22,215.77,4.85M,-4.16%
12-Apr-20,233.22,233.05,244.31,227.12,3.82M,0.08%
11-Apr-20,233.04,232.78,239.79,221.86,3.85M,0.13%
10-Apr-20,232.74,256.21,258.82,226.3,5.29M,-9.16%
9-Apr-20,256.21,267.28,274.03,254.06,4.21M,-4.14%
8-Apr-20,267.28,252.74,279.91,250.44,6.49M,5.71%
7-Apr-20,252.84,257.91,265.01,247.36,5.01M,-1.97%
6-Apr-20,257.92,230.97,258.7,230.77,5.25M,11.70%
5-Apr-20,230.9,238.05,239.71,226.37,3.75M,-3.00%
4-Apr-20,238.05,236.02,241.53,232.16,3.70M,0.86%
3-Apr-20,236.02,231.85,241.75,230.57,4.56M,1.80%
2-Apr-20,231.84,223.72,247.52,222.21,5.40M,3.64%
1-Apr-20,223.7,218.44,224.49,212.2,3.73M,2.39%
31-Mar-20,218.48,220.06,223.73,216.02,3.36M,-0.71%
30-Mar-20,220.04,205.54,226.17,205.52,3.78M,7.06%
29-Mar-20,205.54,213.81,216.93,204.8,3.33M,-3.88%
28-Mar-20,213.83,213.37,216.55,202.64,4.63M,0.21%
27-Mar-20,213.37,227.75,233.05,211.62,3.94M,-6.31%
26-Mar-20,227.75,220.65,228.14,219.21,3.86M,3.22%
25-Mar-20,220.65,227.41,229.72,213.85,3.72M,-2.97%
24-Mar-20,227.42,221.31,229.71,217.8,3.97M,2.75%
23-Mar-20,221.33,202.72,226.64,199.1,5.12M,9.18%
22-Mar-20,202.71,219.89,232.79,200.49,5.17M,-7.81%
21-Mar-20,219.89,215.06,228.58,206.64,5.22M,2.27%
20-Mar-20,215.01,219.64,244.18,192.06,7.49M,-2.11%
19-Mar-20,219.66,184.74,229.86,177.84,6.94M,18.93%
18-Mar-20,184.7,182.93,185.86,169.44,4.35M,0.95%
17-Mar-20,182.96,172.71,187.75,170.01,4.41M,5.95%
16-Mar-20,172.69,178.16,183.99,151.09,6.24M,-3.07%
15-Mar-20,178.16,167.37,189.52,165.6,4.35M,6.41%
14-Mar-20,167.43,178.29,180.43,164.23,5.69M,-5.58%
13-Mar-20,177.33,146.83,188.79,134.5,13.17M,20.71%
12-Mar-20,146.9,267.06,267.75,142.32,10.34M,-44.99%
11-Mar-20,267.06,271.73,274.88,250.97,3.14M,-1.70%
10-Mar-20,271.68,273.23,277.71,263.48,3.42M,-0.57%
9-Mar-20,273.23,272.61,280.08,253.2,6.08M,0.24%
8-Mar-20,272.57,330.77,330.79,268.76,4.87M,-17.59%
7-Mar-20,330.77,350.71,351,328.54,2.91M,-5.68%
6-Mar-20,350.7,337.18,352.29,332.54,4.02M,4.00%
5-Mar-20,337.2,319.51,343.07,319.51,4.07M,5.52%
