Date,FANG,GOLD,sp500,VNQ,BTC
2020-07-31,5501.44,1985.9,3258.44,94.24,11114.93
2020-08-03,5454.17,1986.3,3246.22,93.93,11823.69
2020-08-04,5481.27,2021,3271.12,95.09,11077.77
2020-08-05,5545.41,2049.3,3294.61,95.02,11242.57
2020-08-06,5618.21,2069.4,3306.51,95.37,11194.25
2020-08-07,5540.11,2028,3327.77,94.99,11750.28
2020-08-10,5504.09,2039.7,3349.16,95.45,11767.6
2020-08-11,5393.65,1946.3,3351.28,95.78,11684.06
2020-08-12,5517.85,1949,3360.47,94.98,11893.03
2020-08-13,5535.31,1970.4,3333.69,95.62,11392.43
2020-08-14,5511.48,1949.8,3380.35,94.72,11573.11
2020-08-17,5556.77,1998.7,3373.43,94.63,11873.98
2020-08-18,5738.04,2013.1,3372.85,93.88,11914.01
2020-08-19,5667.92,1970.3,3381.99,93.04,12293.72
2020-08-20,5758.81,1946.5,3389.78,93.39,11969.53
2020-08-21,5743.98,1947,3374.85,92.28,11734
2020-08-24,5778.67,1939.2,3385.51,91.58,11683.44
2020-08-25,5848.57,1923.1,3397.16,91.63,11653.02
2020-08-26,6063.94,1952.5,3431.28,91.35,11763.93
2020-08-27,5973.02,1932.6,3443.62,92.38,11337.4
2020-08-28,5983.59,1974.9,3478.73,92.27,11467.37
2020-08-31,6032.29,1978.6,3484.55,91.7,11481.64
2020-09-01,6140.37,1978.9,3508.01,92.79,11707.78
2020-09-02,6235.58,1944.7,3500.31,92.13,11659.57
2020-09-03,5935.26,1937.8,3526.65,92.04,11923.25
2020-09-04,5795.57,1934.3,3580.84,91.75,11397.44
2020-09-06,,1940.65,3455.06,91.35,10159.62
2020-09-07,,1937.1,3426.96,91.11,10254.93
2020-09-08,5564.44,1943.2,3331.84,91.57,10367.74
2020-09-09,5707.07,1954.9,3398.96,91.07,10121.52
2020-09-10,5563.41,1964.3,3339.19,90.27,10227.83
2020-09-11,5492.62,1947.9,3340.97,90.14,10446.44
2020-09-14,5469.57,1963.7,3383.54,91,10330.77
2020-09-15,5575.2,1966.2,3401.2,90.35,10674.64
2020-09-16,5449.7,1970.5,3385.49,90.33,10785.62
2020-09-17,5331.13,1949.9,3357.01,91.57,10948.43
2020-09-18,5235.33,1962.1,3319.47,92.51,11081.43
2020-09-21,5236.19,1910.6,3281.06,93.05,10919.65
2020-09-22,5446.54,1907.6,3315.57,92.87,10430.46
2020-09-23,5236,1868.4,3236.92,92.68,10532.22
2020-09-24,5273.48,1876.9,3246.59,92.63,10234.48
2020-09-25,5384.17,1866.3,3298.46,92.25,10732.4
2020-09-28,5495.14,1882.3,3351.6,91.66,10774.24
2020-09-29,5480.26,1903.2,3335.47,93.07,10692.33
2020-09-30,5492.07,1895.5,3363,93.5,10840.8
2020-10-01,5620.09,1916.3,3380.8,93.06,10777.92
2020-10-02,5456.62,1907.6,3348.44,91.84,10551.77
2020-10-05,5583.83,1920.1,3408.63,91.55,10673.46
2020-10-06,5428.67,1908.8,3360.95,91.89,10788.56
2020-10-07,5562.69,1890.8,3419.45,93.2,10603.74
2020-10-08,5584.5,1895.1,3446.83,93.25,10670.8
2020-10-09,5717.96,1926.2,3477.13,93.09,11302.67
2020-10-12,5947.48,1928.9,3534.22,92.64,11376.61
2020-10-13,5962.03,1894.6,3511.93,92.14,11540.04
2020-10-14,5861.61,1907.3,3488.67,91.43,11428.24
2020-10-15,5823.49,1908.9,3483.34,90.6,11431.32
2020-10-16,5756.15,1906.4,3483.81,91.29,11366.51
2020-10-19,5645.26,1911.7,3426.92,91.09,11508.2
2020-10-20,5678.58,1915.4,3443.12,91.31,11758.16
2020-10-21,5655.58,1929.5,3435.56,92.23,11925.46
2020-10-22,5662.16,1904.6,3453.49,92.03,12831.56
2020-10-23,5725.49,1905.2,3465.39,93.62,13128.46
2020-10-26,5671.73,1905.7,3400.97,94.28,13036.77
2020-10-27,5774.03,1911.9,3390.68,94.3,13076.37
2020-10-28,5538.69,1879.2,3271.03,94.47,13651.47
2020-10-29,,1868.65,3310.11,94.13,13289
